"E/V","I/uA"
2.0220000E-01,-3.4230000E-01
2.0160000E-01,-7.7340000E-01
2.0110000E-01,-3.6880000E-01
2.0060000E-01,-1.0241000E+00
2.0010000E-01,-3.9360000E-01
1.9960000E-01,-9.4320000E-01
1.9910000E-01,-3.8380000E-01
1.9860000E-01,-8.7560000E-01
1.9810000E-01,-2.8380000E-01
1.9750000E-01,-7.1690000E-01
1.9700000E-01,-3.3180000E-01
1.9650000E-01,-6.7690000E-01
1.9600000E-01,-3.1510000E-01
1.9550000E-01,-6.0910000E-01
1.9500000E-01,-3.3510000E-01
1.9450000E-01,-5.5120000E-01
1.9390000E-01,-3.0850000E-01
1.9340000E-01,-4.9290000E-01
1.9290000E-01,-3.2060000E-01
1.9240000E-01,-4.9760000E-01
1.9190000E-01,-5.2030000E-01
1.9140000E-01,-5.3370000E-01
1.9090000E-01,-7.9570000E-01
1.9040000E-01,-5.1140000E-01
1.8980000E-01,-8.8190000E-01
1.8930000E-01,-4.6790000E-01
1.8880000E-01,-7.2120000E-01
1.8830000E-01,-4.5010000E-01
1.8780000E-01,-6.1790000E-01
1.8730000E-01,-4.5680000E-01
1.8680000E-01,-5.8870000E-01
1.8620000E-01,-4.5860000E-01
1.8570000E-01,-4.9070000E-01
1.8520000E-01,-4.8530000E-01
1.8470000E-01,-4.5930000E-01
1.8420000E-01,-4.7670000E-01
1.8370000E-01,-3.6960000E-01
1.8320000E-01,-3.9790000E-01
1.8260000E-01,-3.3030000E-01
1.8210000E-01,-5.7220000E-01
1.8160000E-01,-4.0350000E-01
1.8110000E-01,-9.9980000E-01
1.8060000E-01,-4.0030000E-01
1.8010000E-01,-1.0376000E+00
1.7960000E-01,-3.5110000E-01
1.7910000E-01,-9.4550000E-01
1.7850000E-01,-3.3280000E-01
1.7800000E-01,-7.7000000E-01
1.7750000E-01,-3.5030000E-01
1.7700000E-01,-7.0260000E-01
1.7650000E-01,-3.0570000E-01
1.7600000E-01,-7.1780000E-01
1.7550000E-01,-3.8220000E-01
1.7490000E-01,-6.1920000E-01
1.7440000E-01,-3.6430000E-01
1.7390000E-01,-5.2220000E-01
1.7340000E-01,-3.4160000E-01
1.7290000E-01,-5.2970000E-01
1.7240000E-01,-4.1050000E-01
1.7190000E-01,-5.2560000E-01
1.7140000E-01,-7.8930000E-01
1.7080000E-01,-5.3270000E-01
1.7030000E-01,-8.5440000E-01
1.6980000E-01,-4.7310000E-01
1.6930000E-01,-8.0930000E-01
1.6880000E-01,-5.0650000E-01
1.6830000E-01,-6.6060000E-01
1.6780000E-01,-5.2220000E-01
1.6720000E-01,-5.6980000E-01
1.6670000E-01,-5.0520000E-01
1.6620000E-01,-5.6400000E-01
1.6570000E-01,-4.6940000E-01
1.6520000E-01,-4.8090000E-01
1.6470000E-01,-5.0320000E-01
1.6420000E-01,-4.1430000E-01
1.6360000E-01,-4.7870000E-01
1.6310000E-01,-4.3490000E-01
1.6260000E-01,-4.4190000E-01
1.6210000E-01,-3.3730000E-01
1.6160000E-01,-8.9270000E-01
1.6110000E-01,-4.4670000E-01
1.6060000E-01,-1.0895000E+00
1.6010000E-01,-3.6660000E-01
1.5950000E-01,-9.1210000E-01
1.5900000E-01,-2.9520000E-01
1.5850000E-01,-7.7020000E-01
1.5800000E-01,-2.8340000E-01
1.5750000E-01,-7.4840000E-01
1.5700000E-01,-3.4920000E-01
1.5650000E-01,-7.5610000E-01
1.5590000E-01,-4.2090000E-01
1.5540000E-01,-6.7040000E-01
1.5490000E-01,-3.7730000E-01
1.5440000E-01,-6.6670000E-01
1.5390000E-01,-2.8730000E-01
1.5340000E-01,-5.4280000E-01
1.5290000E-01,-2.6000000E-01
1.5240000E-01,-4.5050000E-01
1.5180000E-01,-5.6290000E-01
1.5130000E-01,-5.0730000E-01
1.5080000E-01,-9.0890000E-01
1.5030000E-01,-5.4180000E-01
1.4980000E-01,-8.8330000E-01
1.4930000E-01,-5.9020000E-01
1.4880000E-01,-7.8990000E-01
1.4820000E-01,-5.7140000E-01
1.4770000E-01,-7.1990000E-01
1.4720000E-01,-5.1040000E-01
1.4670000E-01,-5.4470000E-01
1.4620000E-01,-4.0760000E-01
1.4570000E-01,-4.4680000E-01
1.4520000E-01,-4.4160000E-01
1.4460000E-01,-3.3700000E-01
1.4410000E-01,-4.5170000E-01
1.4360000E-01,-4.4110000E-01
1.4310000E-01,-4.8800000E-01
1.4260000E-01,-3.7820000E-01
1.4210000E-01,-7.0820000E-01
1.4160000E-01,-4.3720000E-01
1.4110000E-01,-1.1163000E+00
1.4050000E-01,-4.4910000E-01
1.4000000E-01,-1.0311000E+00
1.3950000E-01,-3.5460000E-01
1.3900000E-01,-8.6680000E-01
1.3850000E-01,-3.0390000E-01
1.3800000E-01,-7.6310000E-01
1.3750000E-01,-2.8890000E-01
1.3690000E-01,-7.2800000E-01
1.3640000E-01,-4.2350000E-01
1.3590000E-01,-6.6650000E-01
1.3540000E-01,-3.2360000E-01
1.3490000E-01,-5.9680000E-01
1.3440000E-01,-4.1900000E-01
1.3390000E-01,-6.0490000E-01
1.3340000E-01,-3.8150000E-01
1.3280000E-01,-5.7130000E-01
1.3230000E-01,-4.6130000E-01
1.3180000E-01,-5.0550000E-01
1.3130000E-01,-8.7920000E-01
1.3080000E-01,-5.7910000E-01
1.3030000E-01,-8.7270000E-01
1.2980000E-01,-5.6420000E-01
1.2920000E-01,-8.4740000E-01
1.2870000E-01,-4.6030000E-01
1.2820000E-01,-6.5470000E-01
1.2770000E-01,-4.9340000E-01
1.2720000E-01,-6.0630000E-01
1.2670000E-01,-4.8260000E-01
1.2620000E-01,-5.1970000E-01
1.2560000E-01,-5.3380000E-01
1.2510000E-01,-4.8370000E-01
1.2460000E-01,-4.8470000E-01
1.2410000E-01,-4.5500000E-01
1.2360000E-01,-5.1910000E-01
1.2310000E-01,-4.4190000E-01
1.2260000E-01,-5.4100000E-01
1.2210000E-01,-4.2530000E-01
1.2150000E-01,-9.0170000E-01
1.2100000E-01,-4.3410000E-01
1.2050000E-01,-1.0254000E+00
1.2000000E-01,-3.2810000E-01
1.1950000E-01,-9.1280000E-01
1.1900000E-01,-3.8910000E-01
1.1850000E-01,-8.7160000E-01
1.1790000E-01,-3.5260000E-01
